"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Burkina Faso,2.121,1.846,1.719,1.571,1.404,1.553,2.036,2.37,2.616,2.616,3.101,3.135,3.357,3.2,1.924,2.38,2.587,2.448,2.805,3.013,2.633,2.836,3.219,4.213,4.843,5.469,5.806,6.781,8.403,8.394,8.996,10.736,11.172,11.955,12.398,10.425,10.871,12.356,14.138,14.593,15.847,17.267,18.797,20.451,22.279
Burundi,0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396,3.436,3.573,3.714,3.862,4.078,4.349,4.64
Cabo Verde,0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.652,0.589,0.616,0.679,0.891,1.023,1.09,1.237,1.514,1.789,1.712,1.664,1.865,1.752,1.851,1.861,1.597,1.664,1.773,1.979,2.013,2.156,2.317,2.494,2.683,2.89
Cambodia,no data,no data,no data,no data,no data,no data,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.189,24.444,26.73,28.977,31.406,34.077,37.002,40.153
Cameroon,8.193,9.281,8.901,8.972,9.482,9.903,12.909,14.952,15.184,13.539,13.553,15.112,13.851,14.451,9.833,9.326,10.393,10.509,10.495,10.695,9.802,10.377,11.588,14.558,17.44,17.974,19.374,22.397,26.514,26.094,26.191,29.37,29.121,32.358,34.999,30.932,32.635,34.997,38.712,38.632,40.621,43.5,46.717,50.302,54.324
Canada,276.035,307.243,314.635,341.859,356.723,366.179,379.009,433.133,509.372,567.215,596.077,612.503,594.365,579.05,579.904,605.921,630.577,654.989,633.996,678.408,744.623,738.961,760.144,895.593,1026.467,1173.49,1319.327,1468.897,1552.865,1376.509,1617.344,1793.327,1828.363,1846.595,1805.745,1556.506,1530.024,1649.934,1712.479,1730.914,1812.46,1910.944,2013.453,2122.741,2238.465
Central African Republic,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.071,2.28,2.321,2.493,2.709,2.94,3.184,3.45
Chad,0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.676,7.451,8.687,10.43,9.315,10.701,12.183,12.411,12.994,14.003,10.952,10.202,10.079,11.051,11.026,11.937,13.008,14.203,15.118,16.257
Chile,28.829,34.133,25.45,20.673,20.104,17.238,18.531,21.856,25.765,29.679,32.998,37.981,46.27,49.505,57.114,73.599,78.024,84.907,81.562,75.094,77.815,70.971,69.729,75.643,99.224,122.996,154.864,173.569,179.488,172.52,218.308,252.096,267.021,278.345,260.479,243.909,250.268,277.674,298.18,294.237,308.505,327.038,345.767,365.092,385.112
"China, People's Republic of",305.348,290.827,286.719,307.677,316.628,312.616,303.34,330.303,411.923,461.066,398.623,415.604,495.671,623.054,566.471,736.87,867.224,965.338,1032.573,1097.138,1214.915,1344.077,1477.501,1671.065,1966.244,2308.8,2774.293,3571.451,4604.285,5121.681,6066.351,7522.103,8570.348,9635.025,10534.526,11226.186,11221.836,12062.285,13368.073,14140.163,15269.942,16579.105,17952.1,19407.737,20978.968
