"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brunei Darussalam,no data,no data,no data,no data,no data,19979.818,11946.922,13281.59,12241.233,13457.077,15422.566,15773.381,17386.219,16664.546,16140.896,18292.06,19282.327,19120.874,14526.109,16112.075,20511.076,18680.432,18845.723,20821.905,24294.89,29514.112,34941.384,36692.724,42678.823,31287.184,35437.219,47092.296,47772.207,44860.428,41947.16,31355.736,27318.051,28236.773,30668.369,27871.454,28396.711,28714.65,29303.128,29827.564,30413.905
Bulgaria,2835.477,3049.296,3171.17,3250.675,3446.956,2949.183,2611.002,3030.634,4965.903,5079.805,2253.896,222.706,913.311,501.483,892.192,1511.491,1153.869,1228.132,1631.94,1673.66,1613.935,1783.719,2074.575,2689.768,3344.622,3839.448,4444.514,5812.68,7152.785,6859.679,6743.737,7836.578,7399.392,7667.592,7888.558,7017.414,7496.084,8275.442,9313.834,9518.437,10133.072,10887.504,11650.902,12445.458,13316.361
Burkina Faso,310.905,264.221,240.176,214.033,186.473,200.896,256.767,291.129,313.06,304.852,351.985,346.407,361.049,334.946,196.026,235.832,249.36,229.493,255.718,267.017,226.844,237.452,261.891,332.892,371.698,407.499,419.813,475.794,572.005,554.368,576.478,667.596,674.21,700.234,704.984,575.604,582.987,643.786,715.769,717.962,757.613,802.158,848.54,897.111,949.687
Burundi,232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,267.696,296.186,294.496,298.006,312.463,306.966,309.87,312.732,315.731,323.712,335.157,347.177
Cabo Verde,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1529.878,1354.544,1387.167,1502.613,1937.154,2186.533,2297.77,2572.566,3112.286,3638.904,3444.555,3312.826,3670.434,3408.481,3558.798,3535.391,2996.794,3083.544,3244.549,3578.662,3598.626,3808.145,4044.509,4302.428,4572.784,4867.494
Cambodia,no data,no data,no data,no data,no data,no data,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.629,470.683,536.151,627.78,741.855,734.655,781.912,877.635,951.077,1013.438,1093.799,1165.06,1270.976,1385.927,1504.264,1620.642,1730.884,1848.245,1975.815,2113.673,2259.782
Cameroon,928.577,1022.233,953.543,935.494,962.85,979.483,1242.483,1399.288,1380.513,1194.707,1159.858,1254.628,1115.886,1130.159,746.71,688.963,746.867,734.603,713.686,707.439,630.698,649.524,705.615,862.274,1004.871,1007.39,1056.318,1187.888,1367.901,1309.59,1282.369,1402.976,1357.149,1471.207,1552.473,1338.603,1377.851,1441.546,1555.67,1514.599,1553.753,1623.263,1700.81,1786.674,1882.44
Canada,11280.199,12396.565,12543.777,13493.038,13947.177,14185.723,14539.529,16407.882,19040.909,20842.082,21571.703,21885.196,20984.398,20210.127,20024.253,20706.053,21324.971,21929.784,21046.287,22340.265,24296.458,23859.505,24279.044,28338.565,32176.401,36439.158,40558.03,44717.014,46773.865,40990.625,47627.317,52285.937,52744.033,52708.61,51020.69,43626.426,42439.65,45217.026,46290.217,46212.842,47931.46,50066.62,52269.463,54608.457,57071.597
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,548.966,555.404,366.867,403.23,353.807,373.3,415.652,448.74,447.992,471.938,503.055,535.352,568.548,604.346
Chad,167.345,193.153,182.076,177.734,186.265,196.954,236.6,261.657,298.418,274.973,323.311,312.824,318.428,271.777,215.007,248.074,269.041,252.174,277.79,238.555,210.22,252.59,287.299,360.742,567.507,738.892,804.525,915.121,1071.952,933.99,1046.815,1162.727,1155.552,1180.355,1241,946.877,860.51,827.149,884.815,861.246,909.686,967.144,1030.197,1069.837,1122.363
Chile,2579.93,3004.742,2204.389,1762.224,1687.029,1424.37,1504.439,1743.889,2021.055,2289.459,2503.878,2829.749,3368.289,3547.034,4030.083,5117.721,5349.607,5743.645,5446.61,4952.689,5071.555,4572.852,4443.656,4770.309,6192.907,7600.083,9473.008,10507.892,10749.238,10219.737,12793.547,14610.754,15307.772,15804.342,14643.86,13572.072,13775.841,15075.25,15901.725,15399.235,15854.652,16619.151,17437.823,18290.364,19172.782
"China, People's Republic of",309.354,290.617,282.054,298.692,303.408,295.336,282.158,302.199,371.015,409.094,348.651,358.826,423.032,525.708,472.65,608.375,708.58,780.854,827.641,872.226,958.566,1053.129,1150.227,1293.124,1512.635,1765.732,2110.563,2703.003,3467.03,3837.903,4524.055,5582.887,6329.464,7080.828,7701.691,8166.756,8115.828,8677.403,9580.239,10098.865,10872.504,11773.098,12718.794,13723.667,14811.794
Colombia,1629.103,1736.157,1819.311,1769.971,1711.861,1572.198,1542.364,1572.581,1660.557,1640.398,1637.508,1658.076,1923.581,2139.184,2640.392,2939.111,3037.641,3291.59,2992.939,2588.925,2455.117,2383.319,2347.513,2240.214,2737.586,3384.616,3717.538,4684.011,5444.823,5170.526,6285.198,7264.109,7950.369,8103.474,7998.833,6088.678,5799.615,6325.486,6641.507,6508.127,6744.007,7053.528,7381.726,7729.015,8096.644
