"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5174.894,4728.373,5239.649,5498.612,4860.422,5152.966,5449.061,6100.397,6096.49,6414.664,6820.088,7242.939,7687.868,8182.425
Norway,15746.212,15484.681,15196.29,14906.207,14968.787,15728.224,18853.07,22445.073,24143.155,24245.447,28187.218,28514.498,30432.927,27880.6,29236.375,34789.965,37225.29,36561.409,34717.064,36278.339,38047.898,38494.71,42997.959,50046.309,57512.221,66687.79,73970.273,84915.639,96563.223,79746.888,87356.193,100197.171,101129.871,102576.713,96657.575,74115.179,70223.839,75306.644,81549.977,77975.429,78333.222,79878.619,81395.026,83077.616,84994.937
Oman,4674.114,5251.746,5510.962,5363.892,5517.394,6129.204,4548.852,4488.916,4362.946,4605.009,6340.52,5937.75,6292.658,6102.666,6116.027,6355.283,6864.964,6965.197,6037.746,6605.919,8120.715,7961.211,8108.723,8565.258,9635.825,11873.176,13938.207,15436.806,21866.269,16784.913,19774.797,22726.637,23282.204,21920.148,21814.151,18243.808,16332.369,17045.148,18969.993,17791.026,17723.145,17899.531,17812.763,17870.849,18019.409
Pakistan,384.902,442.247,469.6,426.342,450.309,438.235,436.969,445.068,500.308,508.691,495.989,551.237,565.905,583.709,573.819,654.027,666.464,641.566,624.156,617.576,583.32,555.226,544.369,611.429,705.723,776.77,883.243,963.279,1037.612,998.186,1031.652,1218.342,1254.17,1266.742,1312.427,1424.954,1439.63,1543.989,1565.427,1388.244,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7718.412,8161.027,8421.096,7879.455,8382.411,9303.471,9585.137,10057.066,10427.26,9839.407,10033.819,10762.291,11986.972,12838.753,14006.773,15875.437,16782.098,15995.087,16195.279,16736.103,17378.1,17936.264,18476.128,19032.241,19605.092
Panama,2071.041,2288.369,2469.136,2477.122,2527.53,2614.785,2658.349,2613.099,2211.665,2171.726,2312.985,2489.709,2770.951,2963.32,3095.157,3099.915,3580.929,3791.269,4027.322,4136.061,4111.712,4094.966,4172.689,4312.62,4638.716,4965.212,5401.562,6127.034,7110.228,7532.399,8039.764,9314.686,10674.486,11841.894,12756.953,13606.595,14356.447,15198.073,15642.817,16245.452,17148.321,18076.611,19070.834,20119.737,21226.323
Papua New Guinea,1413.084,1350.213,1251.954,1222.551,1104.801,998.754,1064.087,1186.913,1601.71,1489.007,1295.479,1477.862,1582.691,1753.688,1877.827,1618.559,1678.059,1563.103,1164.943,1036.878,1031.04,882.227,855.595,1018.513,1117.953,1272.221,1411.902,1576.159,1883.527,1833.09,2132.185,2552.043,2865.783,2800.173,2992.711,2742.919,2567.582,2705.581,2751.706,2742.269,2725.812,2721.329,2745.517,2787.336,2835.898
Paraguay,1299.661,1608.463,1636.527,1762.992,1390.886,1154.145,1335.761,1084.695,1392.417,977.835,1185.277,1585.242,1592.055,1580.207,1681.396,1897.134,2008.188,2003.578,1824.648,1706.395,1675.793,1577.681,1312.083,1377.521,1693.886,1857.773,2284.975,2988.681,4047.755,3622.628,4347.206,5298.454,5151.373,5882.781,6050.042,5353.075,5259.938,5609.848,5934.182,5692.175,5904.857,6280.569,6614.176,6959.241,7273.864
Peru,1164.828,1373.068,1332.455,1011.725,1018.785,861.599,1263.729,2040.65,1579.545,1908.456,1301.465,1530.736,1562.58,1487.861,1839.228,2147.428,2193.686,2272.351,2141.114,1903.93,1940.238,1935.546,2017.765,2159.744,2408.091,2669.214,3106.719,3587.798,4226.544,4170.442,5055.04,5738.131,6400.396,6631.331,6565.41,6141.428,6173.231,6729.934,7007.171,7046.788,7316.973,7645.564,7997.906,8370.172,8762.896
Philippines,752.815,806.599,819.872,715.13,659.363,627.535,597.839,648.255,723.483,794.104,805.632,806.935,919.701,922.189,1062.278,1200.429,1276.661,1240.769,958.16,1077.999,1051.973,970.377,1013.424,1024.77,1093.48,1208.934,1405.206,1683.688,1940.995,1851.073,2155.409,2379.941,2591.627,2768.472,2849.267,2882.768,2953.291,2989.131,3104.223,3294.473,3484.895,3714.028,4008.759,4328.895,4673.778
Poland,1591.91,1494.896,1799.918,2052.913,2038.025,1896.081,1961.676,1687.804,1815.815,1768.606,1625.844,2101.345,2311.094,2347.117,2687.41,3605.161,4058.183,4067.962,4450.329,4339.597,4476.245,4978.051,5195.281,5691.335,6684.461,8019.766,9035.259,11264.718,14004.757,11541.353,12601.915,13886.833,13158.073,13777.295,14342.832,12565.735,12427.647,13871.679,15425.681,14901.547,15988.035,17021.1,18107.913,19289.98,20572.767
Portugal,3338.764,3296.654,3095.096,2838.655,2596.075,2716.645,3774.582,4724.451,5532.62,5977.577,7957.244,9026.301,10863.487,9547.643,9977.615,11787.315,12187.569,11594.766,12216.689,12487.712,11531.458,11734.869,12927.593,15793.863,18055.869,18790.561,19840.474,22813.654,24946.256,23126.188,22539.038,23213.113,20576.825,21653.505,22109.318,19252.005,19986.362,21482.856,23437.39,23030.786,23731.127,24727.892,25744.8,26788.053,27920.047
Puerto Rico,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30585.55,31590.97,31603.406,31538.174,32100.402,32647.404,33213.788,33808.206,34380.379
Qatar,31999.31,32677.158,26613.591,21147.403,20551.617,18201.415,13677.704,13828.961,12749.102,12967.628,15446.332,14189.043,15616.953,14546.04,14894.69,16238.346,17677.59,21337.1,18633.92,21660.445,29914.266,28666.61,30748.535,35644.406,44051.659,54228.833,62920.646,69166.962,74189.292,59683.144,72953.444,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,62826.062,70379.492,69687.549,70736.879,72554.045,75624.629,78964.166,83263.488
Romania,2052.081,2450.352,2441.211,2125.157,1710.302,2101.997,2264.368,2517.949,2593.057,2314.744,1641.855,1241.063,847.68,1147.325,1317.048,1563.117,1565.472,1571.689,1885.349,1600.881,1661.714,1802.675,2113.596,2672.811,3483.726,4604.45,5740.402,8262.407,10385.848,8517.598,8190.571,9081.724,8518.923,9537.82,10004.876,8950.463,9538.926,10761.712,12269.843,12482.971,13414.487,14398.636,15455.166,16542.166,17685.865
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7049.592,5774.254,617.5,1331.768,2001.931,2268.992,2834.697,2938.568,1972.856,1430.7,1903.592,2264.825,2555.427,3198.626,4408.302,5719.766,7434.816,9759.766,12484.357,9156.586,11446.587,14319.683,15276.303,15953.125,14069.103,9261.678,8722.893,10750.805,11289.439,11162.652,11305.118,11704.546,12183.614,12728.105,13314.544
Rwanda,270.525,296.19,304.582,313.504,293.235,336.894,368.93,395.849,409.149,413.152,385.963,276.23,292.942,301.087,206.465,226.63,248.486,319.386,312.589,262.564,229.235,209.117,200.121,215.302,240.947,293.248,354.621,421.27,518.613,561.82,584.957,651.628,707.583,709.834,727.969,736.378,734.822,773.847,786.531,824.927,873.332,928.264,992.544,1063.875,1140.554
Saint Kitts and Nevis,1338.747,1609.725,1847.251,1829.835,2144.801,2406.13,2851.256,3289.063,3926.955,4392.77,4969.878,4912.915,5386.942,5806.085,6407.518,6819.77,7195.174,8010.438,8260.891,8670.829,9544.827,9900.461,10251.273,9881.841,10522.561,11219.683,13095.2,13845.794,14925.414,14696.759,14776.442,15726.391,15224.898,15791.923,15483.41,15690.938,16356.504,17007.806,17512.575,18245.901,19023.746,19748.404,20442.882,21208.671,22005.824
Saint Lucia,1307.489,1472.199,1370.524,1455.75,1830.898,2038.936,2400.742,2613.95,2947.654,3281.755,3865.76,4036.227,4364.173,4403.753,4499.232,4716.078,4798.43,4817.864,5164.448,5365.735,5348.428,5056.054,5059.127,5499.454,5875.116,6182.276,6818.825,7607.929,7554.165,7767.181,8447.613,8640.211,8515.016,8690.236,9031.638,9521.039,9678.105,10246.575,10754.858,11075.921,11619.205,12139.701,12600.293,12963.414,13337
Saint Vincent and the Grenadines,836.554,1028.229,1136.548,1212.18,1329.011,1423.424,1561.255,1693.036,1923.88,2047.706,2274.42,2392.789,2610.526,2689.605,2719.644,2969.99,3116.21,3270.011,3513.884,3675.552,3728.555,4049.723,4327.675,4494.061,4846.874,5091.853,5624.413,6272.145,6366.43,6172.303,6224.211,6171.184,6318.679,6569.838,6622.439,6867.601,7033.581,7187.566,7353.722,7750.791,8080.9,8427.133,8785.575,9162.218,9553.018
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1613.013,1469.932,1511.677,1516.881,1595.803,1876.744,2280.71,2633.305,2775.164,3038.858,3634.995,3170.109,3430.856,3939.695,4233.328,4219.066,4178.979,4149.36,4015.214,4258.343,4323.256,4500.745,4735.061,4873.797,5026.538,5188.347,5353.482
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72991.531,79110.201,67011.543,60426.235,57512.891,50336.185,51986.532,51234.869,43068.693,44308.666,45887.687,48948.13,47279.934,47932.214,49249.459,50472.506,51644.539,52931.877
Saudi Arabia,17655.143,18832.057,14912.742,11972.192,10558.766,8732.74,6955.053,6524.159,6398.839,6583.29,7734.975,8280.176,8077.765,7686.005,7626.36,7893.422,8527.666,8706.354,7525.303,8092.7,9256.541,8778.391,8822.507,9800.529,11467.097,14068.219,15603.985,16666.626,20157.298,16094.678,19163.337,23654.865,25208.162,24892.99,24929.316,21063.308,20288.917,21113.957,23538.94,22865.178,22533.259,22569.951,22924.507,23401.284,23985.55
Senegal,781.318,689.676,656.587,569.224,539.145,573.039,786.525,917.907,880.712,842.541,952.417,910.029,946.739,869.094,576.64,706.207,714.635,643.171,679.9,676.041,603.592,609.832,652.081,815.347,929.274,980.628,1026.153,1204.909,1394.345,1298.383,1257.654,1345.702,1301.541,1343.16,1361.351,1186.925,1235.111,1320.62,1441.427,1427.873,1494.314,1596.807,1716.191,1916.452,2058.036
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2925.927,2300.699,1507.679,1238.888,1640.945,2156.887,2836.54,3315.331,3695.343,4398.828,5878.873,7087.453,6168.228,5673.62,6809.94,6012.63,6752.796,6598.935,5585.117,5756.384,6284.196,7223.004,7397.685,7991.582,8676.369,9393.778,10167.294,10903.377
Seychelles,2329.353,2403.455,2293.938,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11480.433,9707.265,10805.099,11647.017,11999.897,14762.223,14701.368,14786.118,15218.508,15915.524,16574.679,17052.232,17178.633,18180.242,19023.259,19865.261,20661.903
Sierra Leone,490.441,513.084,565.071,479.982,552.183,460.718,337.502,287.721,461.77,414.406,224.573,268.084,234.027,266.103,317.336,304.147,327.823,294.274,230.249,224.923,210.745,233.996,258.174,272.053,271.396,299.269,331.015,368.86,418.785,399.926,410.595,457.917,578.302,731.066,721.558,599.574,522.355,503.347,539.205,546.645,557.073,569.681,587.668,610.801,634.903
Singapore,5004.992,5672.105,6000.032,6717.837,7160.262,6788.387,6870.769,7794.688,9328.951,10725.743,12763.342,14501.96,16136.244,18290.132,21552.408,24914.851,26232.869,26375.868,21829.278,21796.642,23852.834,21699.748,22159.833,23730.379,27608.075,29961.308,33768.446,39432.895,40008.577,38926.813,47236.672,53891.462,55547.546,56967.426,57564.802,55645.607,56722.271,60296.789,64578.772,63987.068,64829.222,66949.975,69597.894,72466.186,75631.866
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2561.19,2938.631,3696.566,3990.001,4069.745,4232.73,3864.179,3832.538,3976.08,4620.672,6330.051,8027.234,9129.071,10683.52,14349.947,18048.555,16572.777,16633.526,18227.832,17295.006,18205.631,18668.68,16197.766,16564.769,17629.159,19579.309,19547.657,20494.627,21722.212,22903.7,24079.677,25308.924
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9639.262,8357.859,8468.162,10748.36,10810.791,10470.497,11168.219,11509.456,10259.494,10502.321,11804.768,14873.628,17254.827,18152.125,19723.796,23912.494,27744.207,24854.229,23570.184,25156.137,22674.49,23516.527,24263.959,20898.913,21640.27,23498.087,26145.653,26170.25,27452.323,29061.982,30573.061,32111.087,33732.456
Solomon Islands,767.971,786.877,757.961,689.407,669.398,592.013,512.757,523.77,579.556,552.165,667.386,687.074,789.67,858.033,1052.455,1192.904,1275.868,1297.942,1073.834,1114.737,923.385,897.554,744.048,704.085,793.967,915.158,980.042,1048.642,1207.902,1160.785,1293.864,1733.71,1935.74,2010.288,2042.088,1971.553,2052.823,2092.137,2197.253,2246.723,2338.314,2444.286,2552.905,2683.809,2810.101
South Africa,2853.526,2865.01,2561.74,2783.1,2400.34,1792.065,2003.023,2570.271,2704.735,2753.513,3140.342,3289.043,3481.424,3390.848,3446.835,3752.377,3499.202,3555.708,3159.393,3087.271,3039.041,2659.484,2496.993,3744.26,4838.952,5383.759,5610.627,6091.646,5765.546,5880.321,7311.739,7997.067,7487.85,6824.453,6429.825,5731.725,5266.883,6119.887,6353.846,6100.354,6193.171,6331.797,6493.317,6663.568,6846.991
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1644.739,1041.463,1337.232,1309.952,1225.186,281.507,273.137,353.165,275.184,243.267,244.003,278.36,270.374,265.582
Spain,6112.881,5368.609,5158.755,4490.713,4460.603,4683.157,6461.294,8167.057,9574.946,10540.022,13659.798,14661.18,15973.582,13376.558,13386.457,15437.363,16055.974,14746.417,15418.912,15775.108,14724.629,15368.725,17091.894,21533.395,24989.656,26529.517,28531.631,32748.181,35698.152,32423.722,30801.277,31875.786,28584.377,29237.317,29686.715,25849.69,26681.567,28381.056,30733.168,29961.105,30734.119,31937.225,33092.261,34267.611,35572.012
Sri Lanka,322.965,331.567,353.509,377.207,437.452,428.513,454.721,468.846,485.167,482.128,546.34,591.047,629.976,666.435,761.443,802.019,873.67,968.151,992.407,992.638,1031.359,983.965,1027.565,1125.194,1221.079,1431.295,1645.073,1869.834,2336.438,2396.633,2807.661,3212.756,3349.776,3608.294,3818.396,3842.252,3885.761,4104.332,4099.118,3946.592,4152.213,4411.555,4688.418,4987.481,5318.716
Sudan,486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1698.077,1403.152,1126.551,816.543,714.295,759.706,745.728,735.699,728.412,722.017
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1320.196,1434.456,1313.625,1020.848,1133.128,2120.745,2605.667,2750.695,3264.332,2649.744,2712.6,2301.928,2872.138,3335.527,3789.587,4483.534,5208.555,5758.066,6832.947,7394.097,8224.066,8190.699,9194.151,9351.962,9379.003,8439.174,5498.942,5260.044,5798.163,6310.95,6875.92,7113.623,7592.016,7860.968,8166.338
Sweden,16422.57,15281.923,13507.009,12468.819,12892.471,13322.454,17652.641,21340.305,23991.472,24968.847,29827.341,31570.068,32279.278,24151.675,25778.496,30030.442,32761.324,30107.957,30371.288,30727.784,29420.501,27052.943,29677.011,37018.849,42460.162,43077.336,46110.953,53139.378,55682.196,46582.584,52607.396,60397.845,57653.113,60616.489,59528.902,51126.766,51599.447,53412.284,54356.073,51241.914,51892.079,53960.648,56436.492,59106.558,62108.693
Switzerland,18869.568,17190.991,17508.115,17360.011,16532.256,16694.338,23816.313,29646.522,31881.397,30545.678,38660.028,38655.814,39686.859,38242.326,41996.762,48833.175,46763.937,40469.035,41547.374,40642.658,37992.655,38716.1,41551.991,48285.032,53447.448,55113.812,57800.425,63959.393,72938.731,70321.278,74884.995,88902.892,83958.733,85673.433,87159.833,82511.335,80629.206,80763.565,83161.895,83716.813,86673.501,89370.253,92190.423,95121.585,98276.188
Syria,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,775.709,931.011,876.128,800.45,812.985,837.601,1142.825,1111.67,922.926,892.384,1050.252,920.765,788.501,1033.02,1058.931,820.593,1050.097,700.969,541.273,568.499,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1117.491,1084.167,1107.873,1273.068,1342.707,1569.411,1763.383,1569.505,1673.466,1768.1,1943.49,1933.381,2036.124,2151.523,2283.09,2412.715,2552.745
Taiwan Province of China,2367.6,2692.406,2675.823,2882.402,3203.468,3295.112,4010.111,5325.216,6337.499,7577.046,8178.152,9092.297,10725.702,11266.123,12108.752,13076.007,13597.248,13968.097,12787.258,13768.274,14876.879,13408.383,13715.525,14094.37,15360.724,16503.313,16984.54,17780.925,18102.946,16959.775,19261.667,20911.643,21269.614,21887.992,22638.917,22373.564,22572.702,24389.677,25007.747,24827.898,25525.806,26861.07,28324.425,29870.221,31483.799
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,795.981,800.802,825.77,877.34,910.982,950.945,989.379,1024.005,1061.868
Tanzania,602.924,699.181,778.244,772.741,682.028,596.872,732.197,350.129,324.721,271.496,211.031,237.573,213.148,190.679,195.663,221.366,266.49,307.987,370.188,370.918,380.08,377.469,382.262,401.072,428.906,459.751,491.351,551.879,683.137,693.025,732.315,768.16,867.857,970.348,1030.74,947.897,966.29,1002.869,1039.739,1104.786,1159.304,1213.629,1273.876,1341.557,1413.837
Thailand,718.751,751.856,773.787,835.332,853.682,775.776,840.475,969.076,1159.092,1349.927,1571.257,1777.473,2025.518,2234.179,2515.154,2871.564,3071.062,2492.616,1866.597,2057.318,2030.725,1921.673,2133.115,2404.937,2714.64,2955.791,3442.383,4058.383,4471.121,4298.301,5174.526,5600.645,5979.22,6296.19,6079.686,5967.671,6113.418,6730.556,7448.119,7791.952,8193.815,8668.985,9187.818,9744.162,10257.175
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,490.029,569.618,553.991,580.375,1132.743,1870.691,2687.606,2851.53,4246.913,3060.251,3782.955,5263.594,6044.519,4992.182,3491.597,2610.361,2065.218,2005.28,2163.525,2262.842,2356.913,2253.93,2120.287,2301.816,2500.954
Togo,543.434,436.616,355.088,325.926,288.436,291.935,395.527,449.71,485.437,462.856,542.701,523.168,536.094,399.213,302.14,388.615,412.701,407.67,374.068,364.106,300.415,290.024,324.834,392.424,408.29,401.714,402.867,444.015,539.342,533.229,527.786,579.67,565.022,613.624,633.068,563.759,587.598,615.671,670.323,671.4,713.653,761.592,811.963,865.34,923.414
Tonga,802.903,886.55,878.894,853.099,890.429,836.907,999.884,1081.019,1264.565,1523.205,1578.512,1816.713,1868.532,1944.448,2103.954,2199.634,2410.489,2254.233,2012.456,2035.946,1965.571,1775.167,1908.075,2108.806,2454.269,2788.968,2889.027,3177.853,3406.44,3351.959,3819.22,4437.44,4503.603,4371.58,4332.311,4052.345,4276.801,4672.332,4858.418,4862.273,5083.482,5267.809,5453.837,5664.451,5887.851
Trinidad and Tobago,5844.663,6451.064,7389.246,6935.75,6827.598,6407.753,4118.845,4083.147,3796.412,3623.428,4219.122,4390.015,4471.243,3741.17,4024.875,4319.496,4655.849,4629.726,4869.365,5475.183,6541.694,7042.209,7158.999,8927.638,10438.77,12467.75,14273.555,16807.873,21464.21,14801.21,16957.995,19320.961,19208.072,20107.682,20286.546,18470.338,15937.602,16251.511,16378.646,16365.643,16757.56,17343.575,17986.536,18667.918,19422.866
Tunisia,1482.823,1390.414,1309.899,1322.84,1286.6,1271.845,1312.226,1382.408,1411.506,1386.015,1636.643,1687.19,1973.446,1814.879,1903.845,2156.454,2299.375,2210.809,2295.188,2388.986,2213.949,2254.913,2345.99,2762.051,3112.91,3194.48,3371.538,3778.891,4308.911,4131.023,4140.465,4256.837,4137.572,4198.849,4274.467,3827.64,3665.802,3452.668,3421.777,3287.085,3327.722,3159.34,3170.987,3367.881,3631.056
Turkey,2132.148,2111.547,1875.285,1752.07,1667.262,1833.859,1982.413,2259.887,2335.486,2707.186,3735.77,3686.18,3817.294,4259.482,3024.163,3877.104,4095.582,4220.595,4387.308,4019.001,4218.859,3053.282,3589.386,4642.902,5952.828,7277.942,7898.992,9562.939,10691.762,8881.762,10475.567,11140.952,11552.693,12395.369,12022.18,10914.886,10817.389,10551.139,9405.321,8957.894,9683.565,10635.818,11373.637,11901.693,12489.904
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,239.149,1335.633,1102.518,1394.427,554.283,614.767,647.355,861.861,1109.216,1514.431,1880.287,2443.634,3004.972,3596.234,4429.641,5312.927,4350.129,4036.459,4439.203,5649.978,6675.276,7304.421,7962.366,6432.669,6412.135,6642.523,7064.739,7816.021,8991.246,9957.432,10891.534,11919.759,13051.784
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1661.535,1946.376,2255.915,2229.48,2324.759,2713.056,3053.405,2683.967,3059.159,3687.994,3541.906,3499.048,3459.462,3280.974,3362.05,3688.651,3796.398,3834.829,4121.726,4424.921,4769.012,5124.052,5349.182
Uganda,512.2,804.731,541.848,601.022,447.813,396.289,381.127,592.632,591.643,462.395,363.928,183.801,166.503,190.45,266.865,309.747,309.377,326.722,310.18,285.563,273.964,268.065,278.964,278.825,331.993,372.282,406.739,488.914,604.626,628.759,662.223,669.297,755.416,767.235,775.095,646.894,676.948,702.448,724.209,770.062,823.106,873.745,937.957,989.437,1097.647
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,784.864,885.315,1055.946,1374.753,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3589.632,3872.534,3968.797,3053.608,2124.619,2200.002,2655.939,3112.883,3592.173,3881.66,4146.531,4412.068,4691.731,4982.758
United Arab Emirates,40014.582,40910.917,35767.654,31690.067,29017.094,27035.998,20533.019,21644.071,18435.195,20478.526,26621.511,25847.406,25960.965,25654.369,25762.53,26394.423,29058.859,29523.485,25897.653,27321.043,34688.979,32621.292,32790.711,35017.312,39304.507,43988.667,44313.586,41472.286,39074.838,30920.447,35064.255,41194.733,42723.581,43197.43,43340.018,37380.571,36226.23,37251.944,39709.006,37749.876,37375.271,37386.47,37642.593,38056.964,38586.466
United Kingdom,10734.566,10429.255,9925.51,9456.7,8943.273,9491.989,11551.068,14294.994,17364.253,17617.847,20808.225,21671.879,22305.36,19925.662,21344.249,23026.709,24256.456,26647.953,28077.336,28435.056,28043.874,27510.331,29912.986,34302.415,40111.752,41842.698,44403.814,50315.557,47469.38,38601.319,39122.192,41649.659,42023.101,42981.253,47003.879,44494.861,40657.859,39976.784,42579.817,41030.232,40391.839,41504.889,42842.465,44311.93,45934.896
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34494.539,36317.741,37101.103,37971.28,39411.546,41629.858,44025.56,46213.508,47869.24,48283.413,47007.674,48402.581,49825.501,51556.171,53061.235,55010.066,56787.457,57901.072,59999.508,62868.917,65111.596,67426.835,69643.836,71760.346,73953.425,76252.108
Uruguay,3810.865,4224.261,3431.162,1871.395,1768.228,1716.873,2119.542,2637.021,2712.191,2842.578,3289.118,3940.854,4501.823,5213.029,6015.243,6601.537,6974.809,7295.989,7667.105,7193.466,6817.363,6238.214,4073.418,3614.627,4102.584,5189.889,5842.813,6984.815,9029.327,9372.485,11859.898,14054.33,14961.681,16723.447,16572.362,15365.956,15139.12,17046.214,17014.132,17029.251,17818.921,18877.954,19549.336,20372.902,21200.61
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,204.157,308.501,358.606,549.093,737.525,754.921,755.895,849.409,686.385,574.391,471.134,488.077,572.034,673.856,792.878,1025.082,1294.692,1489.086,1696.058,1886.633,2097.086,2300.776,2514.073,2621.978,2575.518,1810.266,1550.036,1831.565,2094.938,2352.56,2609.464,2897.205,3202.104
Vanuatu,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1422.228,1317.091,1313.463,1542.059,1743.287,1824.505,1985.357,2353.418,2614.735,2593.791,2841.251,3093.464,3067.747,3108.791,3110.706,2880.948,2929.517,3158.835,3254.874,3260.221,3361.283,3460.615,3567.624,3681.521,3799.053
Venezuela,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3777.785,3973.415,4121.578,4823.961,4965.408,3790.656,3265.553,4309.504,5419.794,6617.042,8138.285,10469.171,8448.319,10324.749,11548.906,11293.125,7869.442,7029.892,10568.1,9092.02,4755.031,3410.845,2547.761,2427.502,2409.427,no data,no data,no data
Vietnam,513.965,250.859,326.329,482.44,822.549,251.202,556.019,674.88,365.892,97.158,98.032,113.654,144.149,189.261,230.314,288.874,337.524,361.908,360.925,374.722,401.567,413.342,440.209,489.034,603.668,699.682,796.928,920.463,1154.493,1181.448,1297.226,1532.311,1750.756,1898.898,2047.429,2085.714,2172.012,2353.356,2551.123,2739.821,2954.637,3171.514,3406.143,3664.169,3952.096
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1046.183,1158.438,1351.436,1558.429,1919.182,840.832,411.266,418.526,374.911,439.292,539.641,532.421,560.031,597.771,682.148,797.704,881.648,971.326,1171.169,1060.926,1266.787,1302.302,1367.715,1515.946,1574.246,1307.164,963.976,819.339,895.344,943.343,709.312,732.278,780.008,804.886,814.783
